student_id,kid,kp_name,t,w,d,mastery
S0005,2,平面解析几何,12.162134160357379,17.0,4.5,0.5387214229019507
S0005,5,空间向量与立体几何,4.696217377138223,8.5,3.5,0.5932638818659779
S0005,11,对数函数,3.283734310938563,4.0,3.0,0.3317423588046027
S0005,8,统计,2.0,6.0,3.0,0.7227989783454899
S0005,7,概率,8.050650198162915,7.5,3.0,0.3085015110051682
S0005,10,指数函数,2.0,4.0,2.5,0.8430088915527214
S0005,14,函数应用,2.0,2.0,2.5,0.8156257775067595
S0006,17,集合与逻辑,4.826090683807912,3.0,1.0,0.1345679184283576
S0006,16,复数,3.2571021696192046,3.0,1.0,0.5035249190798852
S0006,12,立体几何初步,7.480674357577828,6.5,2.5,0.4784332492670267
S0006,8,统计,7.71734674431317,6.0,3.0,0.415643216115262
S0006,6,函数概念与性质,2.523833843242672,7.0,3.5,0.6966735390961741
S0006,13,幂函数,3.726974251710587,3.0,2.0,0.393868071782569
S0006,14,函数应用,2.0,2.0,2.5,0.227235984025544
S0006,15,计数原理,2.293164650612854,2.0,2.5,0.1871236947451655
S0006,4,数列,9.83154540966117,9.5,4.0,0.5274770387675856
S0006,3,三角函数,3.8603750541529305,14.5,3.5,0.8323599102685878
S0006,9,平面向量及其应用,5.381367468484732,3.0,2.5,0.160657516625171
S0006,10,指数函数,2.0,4.0,2.5,0.7135726155867248
S0006,1,一元函数导数及其应用,12.259788350818257,13.5,4.5,0.5888891480272647
S0006,2,平面解析几何,7.602562641149599,17.0,4.5,0.7737161261567967
S0006,5,空间向量与立体几何,6.798220627246155,8.5,3.5,0.6150203986143414
S0006,7,概率,6.440953747387093,7.5,3.0,0.5979085337258037
S0006,11,对数函数,2.0,4.0,3.0,0.7982216757717883
S0007,17,集合与逻辑,4.317336215041084,3.0,1.0,0.1901435066240309
S0007,16,复数,2.0,3.0,1.0,0.7086237859219723
S0007,12,立体几何初步,10.02795925342139,6.5,2.5,0.1303561331855517
S0007,8,统计,7.91092544757044,6.0,3.0,0.1812073079909225
S0007,6,函数概念与性质,2.0,7.0,3.5,0.5288480508065904
S0007,3,三角函数,5.4544766096874,14.5,3.5,0.6931420146732508
S0007,1,一元函数导数及其应用,12.444813668771724,13.5,4.5,0.4374149198171219
S0007,14,函数应用,2.0,2.0,2.5,0.1943380505027308
S0007,13,幂函数,3.2981844259601876,3.0,2.0,0.134253697402835
S0007,10,指数函数,4.522734695976379,4.0,2.5,0.1572955495148438
S0007,15,计数原理,2.0,2.0,2.5,0.48349299919762
S0007,7,概率,2.0,7.5,3.0,0.6604932840134233
S0007,11,对数函数,2.618949051327587,4.0,3.0,0.1882673129095492
S0007,9,平面向量及其应用,2.0,3.0,2.5,0.7639255472851231
S0007,2,平面解析几何,23.404620632288992,17.0,4.5,0.2086077799690165
S0007,4,数列,2.0,9.5,4.0,0.5852472469055724
S0007,5,空间向量与立体几何,2.0,8.5,3.5,0.6689270502002688
S0008,17,集合与逻辑,3.1345702442843395,3.0,1.0,0.3978566277652902
S0008,16,复数,2.085156383818836,3.0,1.0,0.6066766916832496
S0008,12,立体几何初步,7.662427881733863,6.5,2.5,0.3245680940108715
S0008,6,函数概念与性质,9.58545615889788,7.0,3.5,0.2308293018169191
S0008,1,一元函数导数及其应用,14.7983825288738,13.5,4.5,0.359035605423062
S0008,4,数列,13.928279012880672,9.5,4.0,0.1242071995044423
S0008,3,三角函数,6.7345132928816405,14.5,3.5,0.7331947376215893
S0008,10,指数函数,2.0,4.0,2.5,0.5669611498092553
S0008,9,平面向量及其应用,2.0,3.0,2.5,0.637824501522752
S0008,13,幂函数,2.0,3.0,2.0,0.8042949526204605
S0008,15,计数原理,2.0,2.0,2.5,0.3537488574524345
S0008,7,概率,2.013750730764077,7.5,3.0,0.7340854799528639
S0008,11,对数函数,2.743582766626243,4.0,3.0,0.4496754616334523
S0008,8,统计,2.0,6.0,3.0,0.8780979409393059
S0008,5,空间向量与立体几何,6.001510301284131,8.5,3.5,0.5819450975647122
S0008,2,平面解析几何,9.31237069731526,17.0,4.5,0.6896438388465965
S0008,14,函数应用,2.0,2.0,2.5,0.691889065876315
S0009,17,集合与逻辑,2.855311059504333,3.0,1.0,0.4102324505997262
S0009,16,复数,3.2382615194756563,3.0,1.0,0.3328034097333866
S0009,12,立体几何初步,6.777381567114882,6.5,2.5,0.3504183883136442
S0009,8,统计,2.0,6.0,3.0,0.600618787068485
S0009,6,函数概念与性质,2.285731984130163,7.0,3.5,0.5648003105377202
S0009,3,三角函数,14.180875552919836,14.5,3.5,0.3721320592793635
S0009,9,平面向量及其应用,2.0,3.0,2.5,0.4907789483665132
S0009,5,空间向量与立体几何,8.450090654993101,8.5,3.5,0.3679411385662858
S0009,2,平面解析几何,11.621199835797702,17.0,4.5,0.5710573874245447
S0009,4,数列,7.297015661387085,9.5,4.0,0.4655605232861777
S0009,1,一元函数导数及其应用,17.29413216465078,13.5,4.5,0.1892751149544651
S0009,13,幂函数,2.0,3.0,2.0,0.3543501888533352
S0009,15,计数原理,2.0,2.0,2.5,0.4452072478045964
S0009,7,概率,2.0,7.5,3.0,0.8040477305716169
S0009,11,对数函数,2.0,4.0,3.0,0.6282949313821711
S0009,14,函数应用,2.0,2.0,2.5,0.5247331779199164
S0009,10,指数函数,2.0,4.0,2.5,0.697332311928677
S0010,17,集合与逻辑,2.0,3.0,1.0,0.8276454078950506
S0010,16,复数,2.0,3.0,1.0,0.7066847728717597
S0010,12,立体几何初步,3.200703352127851,6.5,2.5,0.6358730135442274
S0010,8,统计,5.127920206981952,6.0,3.0,0.4493996093208013
S0010,6,函数概念与性质,4.000403751596316,7.0,3.5,0.548987939749253
S0010,1,一元函数导数及其应用,16.45667379533934,13.5,4.5,0.2709697335674747
S0010,3,三角函数,10.905047229964563,14.5,3.5,0.5637383469289106
S0010,15,计数原理,2.0,2.0,2.5,0.3533422301088396
S0010,13,幂函数,4.200203514665173,3.0,2.0,0.1575068988938135
S0010,10,指数函数,2.0,4.0,2.5,0.7073652543278575
S0010,14,函数应用,2.0,2.0,2.5,0.535434960045653
S0010,9,平面向量及其应用,2.0,3.0,2.5,0.4386869885715549
S0010,11,对数函数,3.841039103202852,4.0,3.0,0.2899361101174993
S0010,5,空间向量与立体几何,11.16575234235336,8.5,3.5,0.2360014178352574
S0010,2,平面解析几何,14.506299820813581,17.0,4.5,0.5030436019615403
S0010,4,数列,2.595956883921408,9.5,4.0,0.6808640172975077
S0010,7,概率,2.0,7.5,3.0,0.7098953493808352
S0011,17,集合与逻辑,2.0,3.0,1.0,0.8628452732121443
S0011,16,复数,2.0,3.0,1.0,0.6561032908462033
S0011,12,立体几何初步,4.743296364415668,6.5,2.5,0.5623535584677987
S0011,15,计数原理,2.0,2.0,2.5,0.3901736555905585
S0011,7,概率,7.059329272873812,7.5,3.0,0.4435781792681967
S0011,8,统计,2.0,6.0,3.0,0.735607816770134
S0011,6,函数概念与性质,3.713148486086976,7.0,3.5,0.6064864483144833
S0011,3,三角函数,8.848872202621623,14.5,3.5,0.6372818050204491
S0011,4,数列,10.253808262095465,9.5,4.0,0.3573948423647267
S0011,1,一元函数导数及其应用,13.645332238857218,13.5,4.5,0.3744924781166546
S0011,11,对数函数,4.075963455852723,4.0,3.0,0.3269503450758397
S0011,9,平面向量及其应用,2.0,3.0,2.5,0.5378151287431081
S0011,2,平面解析几何,16.806494935504258,17.0,4.5,0.3230041574823559
S0011,5,空间向量与立体几何,4.8537547826495535,8.5,3.5,0.6258721020537319
S0011,14,函数应用,2.0,2.0,2.5,0.5719534629799826
S0011,10,指数函数,2.0,4.0,2.5,0.8021888831575192
S0011,13,幂函数,2.0,3.0,2.0,0.6812444083414056
S0012,17,集合与逻辑,2.0,3.0,1.0,0.5773263816646206
S0012,16,复数,2.0,3.0,1.0,0.7060586369772155
S0012,12,立体几何初步,7.359450436638463,6.5,2.5,0.3036738302861086
S0012,15,计数原理,2.0,2.0,2.5,0.4354664007509216
S0012,7,概率,2.0,7.5,3.0,0.7467965730462792
S0012,6,函数概念与性质,5.236054921553273,7.0,3.5,0.4719744673573494
S0012,3,三角函数,14.800394423120697,14.5,3.5,0.2948963355573143
S0012,9,平面向量及其应用,2.0,3.0,2.5,0.4583181073991546
S0012,4,数列,10.85765028418316,9.5,4.0,0.3001030750052341
S0012,1,一元函数导数及其应用,7.665344637931174,13.5,4.5,0.6197239525014734
S0012,2,平面解析几何,13.738962056582647,17.0,4.5,0.5008547670902769
S0012,5,空间向量与立体几何,8.003986391837143,8.5,3.5,0.4162711252456004
S0012,11,对数函数,4.3381568481420585,4.0,3.0,0.2225594643797903
S0012,14,函数应用,2.0,2.0,2.5,0.3369991106756025
S0012,13,幂函数,2.0,3.0,2.0,0.7151863709926345
S0012,10,指数函数,2.0,4.0,2.5,0.7521770943839284
S0012,8,统计,2.0,6.0,3.0,0.8286213892704459
S0013,17,集合与逻辑,2.789799055739625,3.0,1.0,0.4458807230972308
S0013,16,复数,2.773354801057194,3.0,1.0,0.4490268037888312
S0013,8,统计,2.0,6.0,3.0,0.7554061453662126
S0013,12,立体几何初步,2.0,6.5,2.5,0.8524126482868635
S0013,15,计数原理,2.0,2.0,2.5,0.7858819310766817
S0013,7,概率,5.588751314767664,7.5,3.0,0.5176018515936016
S0013,6,函数概念与性质,4.242118271887008,7.0,3.5,0.5186735035833745
S0013,3,三角函数,14.984961822827747,14.5,3.5,0.3274492002533777
S0013,10,指数函数,4.036607790397043,4.0,2.5,0.3083414893475613
S0013,13,幂函数,2.620760799374363,3.0,2.0,0.3360012355172034
S0013,11,对数函数,5.196819963713372,4.0,3.0,0.1355069895030769
S0013,9,平面向量及其应用,2.0,3.0,2.5,0.3639992782023754
S0013,5,空间向量与立体几何,9.15501071124352,8.5,3.5,0.3555395310005849
S0013,4,数列,7.540036601866503,9.5,4.0,0.4883133404664749
S0013,1,一元函数导数及其应用,14.143313476930917,13.5,4.5,0.3738055176469395
S0013,2,平面解析几何,6.928465390020488,17.0,4.5,0.7145699845420009
S0013,14,函数应用,2.0,2.0,2.5,0.6354949674541248
S0014,17,集合与逻辑,2.0,3.0,1.0,0.7054196868451378
S0014,16,复数,2.817429803461776,3.0,1.0,0.3399563307677499
S0014,12,立体几何初步,5.459256955859615,6.5,2.5,0.3596382759519509
S0014,8,统计,5.97238830140858,6.0,3.0,0.2103241907161677
S0014,6,函数概念与性质,2.0,7.0,3.5,0.6103695787276128
S0014,3,三角函数,16.600920528254314,14.5,3.5,0.1905470120764238
S0014,1,一元函数导数及其应用,14.59529458547594,13.5,4.5,0.2583765387036765
S0014,11,对数函数,2.0,4.0,3.0,0.3753944639097614
S0014,13,幂函数,2.017762929034271,3.0,2.0,0.1951350176178202
S0014,14,函数应用,2.0,2.0,2.5,0.2550008309297809
S0014,9,平面向量及其应用,2.0,3.0,2.5,0.5266343348404751
S0014,5,空间向量与立体几何,6.353572801326137,8.5,3.5,0.3801630698654765
S0014,2,平面解析几何,18.18337409426734,17.0,4.5,0.2675057375299265
S0014,4,数列,2.0,9.5,4.0,0.8081441324689606
S0014,10,指数函数,2.0,4.0,2.5,0.843420539815062
S0014,15,计数原理,2.0,2.0,2.5,0.3785843012456578
S0014,7,概率,2.0,7.5,3.0,0.6688373268093735
S0015,17,集合与逻辑,2.0,3.0,1.0,0.8019152121353654
S0015,16,复数,3.5589393321005343,3.0,1.0,0.4415321904049336
S0015,12,立体几何初步,9.716377188779433,6.5,2.5,0.230128178218708
S0015,8,统计,9.498210520728186,6.0,3.0,0.3232551029760633
S0015,15,计数原理,4.607286632373928,2.0,2.5,0.1753345338101635
S0015,7,概率,6.695778248448153,7.5,3.0,0.6740265005311025
S0015,6,函数概念与性质,2.0745005909569403,7.0,3.5,0.832714507925345
S0015,3,三角函数,13.135307456932782,14.5,3.5,0.5506562046850378
S0015,13,幂函数,5.5061584263517975,3.0,2.0,0.2789701143474038
S0015,10,指数函数,2.0,4.0,2.5,0.8292600794200841
S0015,9,平面向量及其应用,4.746854450348876,3.0,2.5,0.4332986312008443
S0015,14,函数应用,3.5184736239056114,2.0,2.5,0.3490430174164232
S0015,11,对数函数,2.0,4.0,3.0,0.8314672126150616
S0015,2,平面解析几何,10.467193353712124,17.0,4.5,0.7729691610024682
S0015,1,一元函数导数及其应用,6.474920175810138,13.5,4.5,0.8234179802614396
S0015,4,数列,2.0,9.5,4.0,0.9116254109429592
S0015,5,空间向量与立体几何,2.0,8.5,3.5,0.9018628328706952
S0016,17,集合与逻辑,3.6760706284416482,3.0,1.0,0.2227890549623409
S0016,16,复数,2.0,3.0,1.0,0.7224557570340706
S0016,12,立体几何初步,2.0,6.5,2.5,0.6805849633489849
S0016,8,统计,3.4349044205556347,6.0,3.0,0.4774914911660963
S0016,15,计数原理,2.0,2.0,2.5,0.5531493220354613
S0016,7,概率,4.903012184969919,7.5,3.0,0.5118309164983627
S0016,6,函数概念与性质,2.0,7.0,3.5,0.7228443148128926
S0016,1,一元函数导数及其应用,14.821212492138748,13.5,4.5,0.3115498765676005
S0016,4,数列,10.276092253738977,9.5,4.0,0.3088785772242448
S0016,3,三角函数,12.134534960307914,14.5,3.5,0.4732891977878054
S0016,13,幂函数,3.4354588646458355,3.0,2.0,0.1645850632549047
S0016,10,指数函数,4.9713685803210765,4.0,2.5,0.1465745741488899
S0016,14,函数应用,2.0,2.0,2.5,0.295517976751029
S0016,9,平面向量及其应用,2.0,3.0,2.5,0.857947472650183
S0016,2,平面解析几何,13.220911561371567,17.0,4.5,0.5115866113304607
S0016,5,空间向量与立体几何,5.126434052927139,8.5,3.5,0.523788987014952
S0016,11,对数函数,2.0,4.0,3.0,0.6243987175137534
S0017,17,集合与逻辑,2.0,3.0,1.0,0.8301568023062155
S0017,16,复数,2.0,3.0,1.0,0.8883502260185092
S0017,12,立体几何初步,8.373560708202794,6.5,2.5,0.2494276029039857
S0017,8,统计,8.297759147824307,6.0,3.0,0.1554064753876839
S0017,6,函数概念与性质,5.903314236949947,7.0,3.5,0.3533061130626861
S0017,3,三角函数,7.834295541342129,14.5,3.5,0.6421499698424318
S0017,4,数列,2.0,9.5,4.0,0.6077755356502106
S0017,15,计数原理,2.0,2.0,2.5,0.240501708502027
S0017,13,幂函数,2.3514758141581065,3.0,2.0,0.2401165434325713
S0017,10,指数函数,2.0,4.0,2.5,0.4674255900284733
S0017,14,函数应用,2.0,2.0,2.5,0.1913093715991448
S0017,9,平面向量及其应用,2.0,3.0,2.5,0.141269977920599
S0017,11,对数函数,3.0181810295123697,4.0,3.0,0.180270842479017
S0017,7,概率,4.266643411601622,7.5,3.0,0.5154058267407408
S0017,2,平面解析几何,21.242550769328368,17.0,4.5,0.2748351016393811
S0017,5,空间向量与立体几何,12.71221934150507,8.5,3.5,0.1382525432513492
S0017,1,一元函数导数及其应用,2.0,13.5,4.5,0.8561793071627994
S0018,17,集合与逻辑,2.0,3.0,1.0,0.8059441176452712
S0018,16,复数,2.800776660968731,3.0,1.0,0.4526106287431555
S0018,12,立体几何初步,2.0,6.5,2.5,0.8931472803588947
S0018,6,函数概念与性质,6.4654750566970876,7.0,3.5,0.4701939506609601
S0018,3,三角函数,14.686533612376811,14.5,3.5,0.2473983932133989
S0018,1,一元函数导数及其应用,15.30803077698063,13.5,4.5,0.2785145075677196
S0018,4,数列,12.142966503076408,9.5,4.0,0.2297329845198044
S0018,15,计数原理,2.0,2.0,2.5,0.3234086949838874
S0018,13,幂函数,2.2944327119814267,3.0,2.0,0.4878960695753673
S0018,10,指数函数,3.629841267770728,4.0,2.5,0.4477492113681141
S0018,14,函数应用,2.0,2.0,2.5,0.5717561323482876
S0018,9,平面向量及其应用,2.0,3.0,2.5,0.6759308044941128
S0018,7,概率,2.0,7.5,3.0,0.8710481907327308
S0018,5,空间向量与立体几何,5.382936601876806,8.5,3.5,0.621491343369012
S0018,2,平面解析几何,11.289006808320098,17.0,4.5,0.6199060918177162
S0018,8,统计,2.0,6.0,3.0,0.8158238759467107
S0018,11,对数函数,2.0,4.0,3.0,0.7649376192948341
S0019,17,集合与逻辑,2.3245934111542628,3.0,1.0,0.5552551416498194
S0019,16,复数,3.0586774475779177,3.0,1.0,0.424753349935653
S0019,12,立体几何初步,3.9203975473371155,6.5,2.5,0.6063470755724308
S0019,8,统计,5.399992841550488,6.0,3.0,0.4449302160209494
S0019,6,函数概念与性质,4.595561131943078,7.0,3.5,0.5320290678358092
S0019,3,三角函数,18.58267722679882,14.5,3.5,0.0832024948453169
S0019,10,指数函数,2.0,4.0,2.5,0.5437063690104948
S0019,11,对数函数,4.066217176400752,4.0,3.0,0.2875366491040505
S0019,9,平面向量及其应用,2.0,3.0,2.5,0.5345682001261428
S0019,13,幂函数,3.638224542425856,3.0,2.0,0.2549318829561502
S0019,4,数列,3.687114274323034,9.5,4.0,0.6564180026136712
S0019,1,一元函数导数及其应用,7.861125641975133,13.5,4.5,0.6367745227757374
S0019,2,平面解析几何,12.368124496554158,17.0,4.5,0.5902498580247522
S0019,5,空间向量与立体几何,2.0,8.5,3.5,0.8941233621788066
S0019,14,函数应用,2.0,2.0,2.5,0.6199525945443943
S0019,15,计数原理,2.0,2.0,2.5,0.7331258568099059
S0019,7,概率,10.49729426292957,7.5,3.0,0.1944792944440529
S0020,17,集合与逻辑,3.0476963211311654,3.0,1.0,0.362969536378133
S0020,16,复数,2.0,3.0,1.0,0.8344302058451402
S0020,12,立体几何初步,3.3043238630788276,6.5,2.5,0.5949900418783373
S0020,6,函数概念与性质,7.779768361804289,7.0,3.5,0.2813113263530356
S0020,3,三角函数,13.650371382876305,14.5,3.5,0.3808199087662333
S0020,9,平面向量及其应用,2.6562323694290266,3.0,2.5,0.1976197770215398
S0020,2,平面解析几何,16.060851990003105,17.0,4.5,0.3943294726557116
S0020,5,空间向量与立体几何,9.590810472440836,8.5,3.5,0.29234719411388
S0020,4,数列,9.068168323983745,9.5,4.0,0.3854694163922464
S0020,1,一元函数导数及其应用,4.303176759182659,13.5,4.5,0.6906082505234611
S0020,14,函数应用,2.0,2.0,2.5,0.3604643713620126
S0020,10,指数函数,2.0,4.0,2.5,0.8214768606599351
S0020,15,计数原理,2.0,2.0,2.5,0.8278048469125506
S0020,7,概率,2.0,7.5,3.0,0.7481428728675362
S0020,8,统计,6.5386001560549705,6.0,3.0,0.2919670276248392
S0020,11,对数函数,2.0,4.0,3.0,0.4150988471264757
S0020,13,幂函数,2.0,3.0,2.0,0.4330289894562813
S0021,17,集合与逻辑,3.7023497904001403,3.0,1.0,0.2044219024671498
S0021,16,复数,2.0,3.0,1.0,0.6360996753072924
S0021,12,立体几何初步,5.583807553865298,6.5,2.5,0.452994368444904
S0021,8,统计,5.117389904532339,6.0,3.0,0.4095895240883183
S0021,6,函数概念与性质,8.120912225866931,7.0,3.5,0.2668169638941101
S0021,3,三角函数,12.489076672455793,14.5,3.5,0.4504771345576255
S0021,1,一元函数导数及其应用,14.236836516195906,13.5,4.5,0.341984716769088
S0021,4,数列,6.4853975672047985,9.5,4.0,0.517392825164647
S0021,10,指数函数,2.0279178677967113,4.0,2.5,0.461581823725493
S0021,9,平面向量及其应用,2.0,3.0,2.5,0.7164358691639681
S0021,5,空间向量与立体几何,10.284770708682224,8.5,3.5,0.2491923474913676
S0021,2,平面解析几何,2.0,17.0,4.5,0.8168743251208263
S0021,11,对数函数,2.0,4.0,3.0,0.7438535611601483
S0021,14,函数应用,2.0,2.0,2.5,0.7146363957332865
S0021,15,计数原理,2.0,2.0,2.5,0.6888770397730547
S0021,7,概率,7.951541193299064,7.5,3.0,0.3410453931637671
S0021,13,幂函数,2.0,3.0,2.0,0.5463217484784061
S0022,17,集合与逻辑,2.0,3.0,1.0,0.4404610700521064
S0022,16,复数,2.0,3.0,1.0,0.6995583460620326
S0022,12,立体几何初步,7.446994529182283,6.5,2.5,0.1233521512591338
S0022,8,统计,2.0,6.0,3.0,0.3795724685472894
S0022,6,函数概念与性质,5.264940908524634,7.0,3.5,0.1606408738693708
S0022,4,数列,10.294273048553553,9.5,4.0,0.1176656962914332
S0022,3,三角函数,15.54999177929396,14.5,3.5,0.2546230039146489
S0022,10,指数函数,2.0,4.0,2.5,0.7783420252276906
S0022,9,平面向量及其应用,2.0,3.0,2.5,0.1681396793392855
S0022,1,一元函数导数及其应用,8.809860546442945,13.5,4.5,0.3852417632043689
S0022,2,平面解析几何,13.149576709801499,17.0,4.5,0.4037100410066686
S0022,5,空间向量与立体几何,9.48436247823769,8.5,3.5,0.1123969000048824
S0022,11,对数函数,2.0,4.0,3.0,0.2882098256743791
S0022,14,函数应用,2.0,2.0,2.5,0.2718046455720754
S0022,15,计数原理,2.0,2.0,2.5,0.5867375866990908
S0022,13,幂函数,2.0,3.0,2.0,0.5421684688596721
S0022,7,概率,2.0,7.5,3.0,0.6684116350731873
S0023,17,集合与逻辑,2.926679750501168,3.0,1.0,0.4495178192719685
S0023,16,复数,4.589410277290034,3.0,1.0,0.0811696678714043
S0023,12,立体几何初步,7.770460678772575,6.5,2.5,0.3282950948556649
S0023,8,统计,2.0,6.0,3.0,0.6169334970351584
S0023,6,函数概念与性质,2.0,7.0,3.5,0.766724557773063
S0023,3,三角函数,16.3936217188839,14.5,3.5,0.3149861892485406
S0023,13,幂函数,2.0,3.0,2.0,0.5404570064621252
S0023,10,指数函数,2.647886982164919,4.0,2.5,0.4194379022359298
S0023,14,函数应用,2.0,2.0,2.5,0.1552389086688582
S0023,9,平面向量及其应用,2.0,3.0,2.5,0.7135275653774699
S0023,5,空间向量与立体几何,13.085901658400115,8.5,3.5,0.1266499390348857
S0023,2,平面解析几何,14.575807154932267,17.0,4.5,0.5186852062430318
S0023,1,一元函数导数及其应用,2.416906607594173,13.5,4.5,0.7363733505565304
S0023,4,数列,7.620688677842324,9.5,4.0,0.4924115926735073
S0023,15,计数原理,2.0,2.0,2.5,0.5905619764636681
S0023,7,概率,3.972636493831839,7.5,3.0,0.5968224765582376
S0023,11,对数函数,2.0,4.0,3.0,0.677424322872752
S0024,17,集合与逻辑,4.459102799002311,3.0,1.0,0.1433826753523102
