student_id,from_kid,to_kid,from_name,to_name
S0010,4,7,数列,概率
S0011,17,16,集合与逻辑,复数
S0011,16,12,复数,立体几何初步
S0011,12,15,立体几何初步,计数原理
S0011,15,7,计数原理,概率
S0011,7,8,概率,统计
S0011,8,6,统计,函数概念与性质
S0011,6,3,函数概念与性质,三角函数
S0011,3,4,三角函数,数列
S0011,4,1,数列,一元函数导数及其应用
S0011,1,11,一元函数导数及其应用,对数函数
S0011,11,9,对数函数,平面向量及其应用
S0011,9,2,平面向量及其应用,平面解析几何
S0011,2,5,平面解析几何,空间向量与立体几何
S0011,5,14,空间向量与立体几何,函数应用
S0011,14,10,函数应用,指数函数
S0011,10,13,指数函数,幂函数
S0012,17,16,集合与逻辑,复数
S0012,16,12,复数,立体几何初步
S0012,12,15,立体几何初步,计数原理
S0012,15,7,计数原理,概率
S0012,7,6,概率,函数概念与性质
S0012,6,3,函数概念与性质,三角函数
S0012,3,9,三角函数,平面向量及其应用
S0012,9,4,平面向量及其应用,数列
S0012,4,1,数列,一元函数导数及其应用
S0012,1,2,一元函数导数及其应用,平面解析几何
S0012,2,5,平面解析几何,空间向量与立体几何
S0012,5,11,空间向量与立体几何,对数函数
S0012,11,14,对数函数,函数应用
S0012,14,13,函数应用,幂函数
S0012,13,10,幂函数,指数函数
S0012,10,8,指数函数,统计
S0013,17,16,集合与逻辑,复数
S0013,16,8,复数,统计
S0013,8,12,统计,立体几何初步
S0013,12,15,立体几何初步,计数原理
S0013,15,7,计数原理,概率
S0013,7,6,概率,函数概念与性质
S0013,6,3,函数概念与性质,三角函数
S0013,3,10,三角函数,指数函数
S0013,10,13,指数函数,幂函数
S0013,13,11,幂函数,对数函数
S0013,11,9,对数函数,平面向量及其应用
S0013,9,5,平面向量及其应用,空间向量与立体几何
S0013,5,4,空间向量与立体几何,数列
S0013,4,1,数列,一元函数导数及其应用
S0013,1,2,一元函数导数及其应用,平面解析几何
S0013,2,14,平面解析几何,函数应用
S0014,17,16,集合与逻辑,复数
S0014,16,12,复数,立体几何初步
S0014,12,8,立体几何初步,统计
S0014,8,6,统计,函数概念与性质
S0014,6,3,函数概念与性质,三角函数
S0014,3,1,三角函数,一元函数导数及其应用
S0014,1,11,一元函数导数及其应用,对数函数
S0014,11,13,对数函数,幂函数
S0014,13,14,幂函数,函数应用
S0014,14,9,函数应用,平面向量及其应用
S0014,9,5,平面向量及其应用,空间向量与立体几何
S0014,5,2,空间向量与立体几何,平面解析几何
S0014,2,4,平面解析几何,数列
S0014,4,10,数列,指数函数
S0014,10,15,指数函数,计数原理
S0014,15,7,计数原理,概率
S0015,17,16,集合与逻辑,复数
S0015,16,12,复数,立体几何初步
S0015,12,8,立体几何初步,统计
S0015,8,15,统计,计数原理
S0015,15,7,计数原理,概率
S0015,7,6,概率,函数概念与性质
S0015,6,3,函数概念与性质,三角函数
S0015,3,13,三角函数,幂函数
S0015,13,10,幂函数,指数函数
S0015,10,9,指数函数,平面向量及其应用
S0015,9,14,平面向量及其应用,函数应用
S0015,14,11,函数应用,对数函数
S0015,11,2,对数函数,平面解析几何
